category	paragraph_1	paragraph_2	len_pargraph_1	is_plagiarism	plagiarism_type	cleaned_paragraph_1	cleaned_paragraph_2
economy	The regression examining the impact of a manufacturing activity’s exposure to the dual-use goods list on the activity’s output shows Israel’s implementation of the dual-use goods list is not correlated with a decline in Palestinian manufacturing output. The project regresses separately manufacturing activities in the West Bank and the Gaza Strip	The project regresses separately manufacturing activities in the West Bank and the Gaza Strip	2	True	partial literal	regress examin impact manufactur activ exposur dual-us good list activ output show israel implement dual-us good list correl declin palestinian manufactur output project regress separ manufactur activ west bank gaza strip	project regress separ manufactur activ west bank gaza strip
environment	The market for renewable energy technologies has continued to grow. Climate change concerns and increasing in green jobs, coupled with high oil prices, peak oil, oil wars, oil spills, promotion of electric vehicles and renewable electricity, nuclear disasters and increasing government support, are driving increasing renewable energy legislation, incentives and commercialization. New government spending, regulation and policies helped the industry weather the 2009 economic crisis better than many other sectors.	Further evidence for greenhouse gases being the cause of recent climate change come from measurements showing the warming of the lower atmosphere (the troposphere), coupled with the cooling of the upper atmosphere (the stratosphere). If solar variations were responsible for the observed warming, warming of both the troposphere and the stratosphere would be expected, but that has not been the case.	3	False	non-plagiarism	market renew technolog continu grow chang concern increas green job coupl high oil price peak oil oil war oil spill promot electr vehicl renew electr nuclear disast increas govern support drive increas renew legisl incent commerci govern spend regul polici help industri weather 2009 crisi better mani sector	evid greenhous gase caus recent chang come measur show warm lower atmospher tropospher coupl cool upper atmospher stratospher solar variat respons observ warm warm tropospher stratospher would expect case
environment	2 emissions is limited because both biomass and biofuels emit large amounts of air pollution when burned and in some cases compete with food supply. Furthermore, biomass and biofuels consume large amounts of water. Other renewable sources such as wind power, photovoltaics, and hydroelectricity have the advantage of being able to conserve water, lower pollution and reduce CO	Note: The graph shows the causal impact of an increase in the carbon tax from 44.6 € to 86.2 € per ton of CO 2 on the job reallocation and CO 2 emissions of French manufacturing industries. For clarity, the food products sector is not included.	3	False	non-plagiarism	2 emiss limit biomass biofuel emit larg amount air pollut burn case compet food suppli furthermor biomass biofuel consum larg amount water renew sourc wind power photovolta hydroelectr advantag abl conserv water lower pollut reduc co	note graph show causal impact increas tax 44 6 86 2 per ton co 2 job realloc co 2 emiss french manufactur industri clariti food product sector includ
economy	If a product fits onto pallets, then the Palestinian company will face lower costs through Aqaba (only $190) vs either Israeli port (between $210-$484) (Tables 4 and 6). If the product cannot fit onto pallets, Palestinian firms importing through the Port of Aqaba face costs up to $2,296 (Table 6)	Economic Surveys Series, 2018 Main Results (pp. 1–186)	2	False	non-plagiarism	product fit onto pallet palestinian compani face lower cost aqaba 190 vs either isra port 210- 484 tabl 4 6 product cannot fit onto pallet palestinian firm import port aqaba face cost 2 296 tabl 6	survey seri 2018 main result pp 1186
economy	President Temer will have to address several other factors such as Social Security and Tax reforms, unemployment rate, social 49 agenda, and Congress polarization to be able to recover from the economic and political instability that the Car Wash Operations shone a light to.	When Joanne V, an oil tanker, defied the British blockade and sailed into Beira, a Mozambique port used to transport oil to Rhodesia, the British government – sanctioned by a U.N. resolution to use force if necessary to stop the oil trade – declared that any ships that unloaded oil destined to Rhodesia would be seized.58 The threat was taken seriously by MNCs: Joanne V left the Mozambique port without unloading its oil.59 Attempts by MNCs to break the blockade by using an oil pipeline of significant symbolic value as the connection between Rhodesia and South Africa were also shut down by the British government. Most MNCs saw the highly conspicuous, punishable nature of trading with Rhodesia to be a disincentive that far outweighed the paltry future profitability incentive and disengaged from Rhodesia.	1	False	non-plagiarism	presid temer address sever factor social secur tax reform unemploy rate social 49 agenda congress polar abl recov polit instabl car wash oper shone light	joann v oil tanker defi british blockad sail beira mozambiqu port use transport oil rhodesia british govern sanction u n resolut use forc necessari stop oil trade declar ship unload oil destin rhodesia would seiz 58 threat taken serious mnc joann v left mozambiqu port without unload oil 59 attempt mnc break blockad use oil pipelin signific symbol valu connect rhodesia south africa also shut british govern mnc saw highli conspicu punish natur trade rhodesia disincent far outweigh paltri futur profit incent disengag rhodesia
economy	"""""""Smarter"""" sanctions, however, have not translated into better outcomes. This is because smarter sanctions ultimately suffer from a deficit in the entire economic sanctions literature in general"""	"""Martin, Lisa L. """"Credibility, Costs, and Institutions: Cooperation on Economic Sanctions."""" World Politics 45, no. 03 (1993): 406-32. doi:10.2307/2950724."""	2	False	non-plagiarism	smarter sanction howev translat better outcom smarter sanction ultim suffer deficit entir sanction literatur gener	martin lisa l credibl cost institut cooper sanction world polit 45 03 1993 406-32 doi 10 2307 2950724
environment	Plant energy is produced by crops specifically grown for use as fuel that offer high biomass output per hectare with low input energy. The grain can be used for liquid transportation fuels while the straw can be burned to produce heat or electricity. Plant biomass can also be degraded from cellulose to glucose through a series of chemical treatments, and the resulting sugar can then be used as a first-generation biofuel.	As an example of how resource recycling can be beneficial, many items thrown away contain metals that can be recycled to create a profit, such as the components in circuit boards. Wood chippings in pallets and other packaging materials can be recycled to useful products for horticulture. The recycled chips can cover paths, walkways, or arena surfaces.	3	False	non-plagiarism	plant produc crop specif grown use fuel offer high biomass output per hectar low input grain use liquid transport fuel straw burn produc heat electr plant biomass also degrad cellulos glucos seri chemic treatment result sugar use first-gener biofuel	exampl resourc recycl benefici mani item thrown away contain metal recycl creat profit compon circuit board wood chip pallet packag materi recycl use product horticultur recycl chip cover path walkway arena surfac
technology	"""In the latest study, however, the researchers decided to add two insulators to their devices, not just one. That addition had the counterintuitive effect of creating an energetic phenomenon called a quantum """"well."""" If electrons hit this well with just the right energy, they can use it to tunnel through the two insulators -- experiencing no resistance in the process. It's not unlike a ghost drifting through a wall unperturbed. A graduate student in Moddel's research group had previously theorized that such spectral behavior could be possible in optical rectennas, but, until now, no one had been able to prove it."""	By the way: I just spent about 20 fruitless minutes trying to find the first-ever Jamboroo, I believe from 2007. The earliest I could find was this one. I know I'm the only person who cares, but searching Deadspin archives is freaking impossible.	4	False	non-plagiarism	latest howev research decid add two insul devic one addit counterintuit effect creat energet phenomenon call quantum well electron hit well right use tunnel two insul -- experienc resist process unlik ghost drift wall unperturb graduat student moddel research group previous theoriz spectral behavior could possibl optic rectenna one abl prove	way spent 20 fruitless minut tri find first-ev jamboroo believ 2007 earliest could find one know person care search deadspin archiv freak imposs
economy	Together, these policies aim to assuage public concerns by showing that the government is monitoring labour inflows and ensuring no undesirable side effects on society writ large. This is a strategy that dovetails with larger AEC goals	Palestine Trade Center. (n.d.). Export Processing Path through Internal Commercial Crossings. https://www.paltrade.org/en_US/page/export-processing-path-through-internal-commercial-crossings	2	False	non-plagiarism	togeth polici aim assuag public concern show govern monitor labour inflow ensur undesir side effect societi writ larg strategi dovetail larger aec goal	palestin trade center n export process path intern commerci cross 
technology	Still, Kleinrock recalls a tangible sense of excitement that night as Kline sat down at the SDS Sigma 7 computer, connected to the IMP, and at the same time made telephone contact with his opposite number at Stanford. As his colleagues watched, he typed the letter L, to begin the word LOGIN.	However, Kleinrock reminded the real sense of pleasure that night because Kline sat on the computer Si Sigma 7, connected to Imp, and at the same time made a telephone contact with his opponent's number at Stanford. When his colleagues watched, he typed the letter L, to start the login word. 	2	True	paraphrase	still kleinrock recal tangibl sens excit night kline sat sd sigma 7 comput connect imp time made telephon contact opposit number stanford colleagu watch type letter l begin word login	howev kleinrock remind real sens pleasur night kline sat comput si sigma 7 connect imp time made telephon contact oppon number stanford colleagu watch type letter l start login word 
geography	The Theory of Island Biogeography and helped to start much of the research that has been done on this topic since the work of Watson and Wallace almost a century before Edward O. Wilson , a prominent biologist and conservationist, coauthoredand helped to start much of the research that has been done on this topic since the work of Watson and Wallace almost a century before	In the early 1400s, the explorer Cheng Ho embarked on seven voyages to the lands bordering the China Sea and the Indian Ocean, establishing China’s dominance throughout Southeast Asia.	2	False	non-plagiarism	theori island biogeographi help start much research done topic sinc work watson wallac almost centuri edward wilson promin biologist conservationist coauthoredand help start much research done topic sinc work watson wallac almost centuri	earli 1400 explor cheng ho embark seven voyag land border china sea indian ocean establish china domin throughout southeast asia
economy	Every multi-member organization is prone to conflict among constituent members owing to different priorities, norms and domestic needs. ASEAN is no stranger to these issues	Every multi-member organization is prone to conflict among constituent members owing to different priorities, norms and domestic needs	2	True	partial literal	everi multi-memb organ prone conflict among constitu member owe differ prioriti norm domest need asean stranger issu	everi multi-memb organ prone conflict among constitu member owe differ prioriti norm domest need
economy	After a half century of unstable economic climate, the Japanese people have found a resurgence in nationalistic and self-sufficient thinking. Japanese leaders have seen close economic and defense relationships with the U.S	The economic downturn caused by MNC decisions created political pressure to end the sanction as median voters, most of whom suffered financially, steered the political tone of the government to one of reconciliation.36 The most apparent impact felt by the average South African came in the form of more expensive imports. Import prices inflated due to the depreciation of the Rand caused by capital flight	2	False	non-plagiarism	half centuri unstabl japanes peopl found resurg nationalist self-suffici think japanes leader seen close defens relationship u	downturn caus mnc decis creat polit pressur end sanction median voter suffer financi steer polit tone govern one reconcili 36 appar impact felt averag south african came form expens import import price inflat due depreci rand caus capit flight
health	As a result, Offit has become the main target of a grassroots movement that opposes the systematic vaccination of children and the laws that require it. McCarthy, an actress and a former Playboy centerfold whose son has been diagnosed with autism, is the best-known leader of the movement, but she is joined by legions of well-organized supporters and sympathizers.	At age 84, Sister Madonna Buder (aka The Iron Nun), finished Ironman Canada. How’d she do it? Sister Iron says, “…all I was concentrating on [was] getting the job done.”	2	False	non-plagiarism	result offit becom main target grassroot movement oppos systemat vaccin children law requir mccarthi actress former playboy centerfold whose son diagnos autism best-known leader movement join legion well-organ support sympath	age 84 sister madonna buder aka iron nun finish ironman canada howd sister iron concentr get job done
environment	The trillion-dollar question is how we can shift incentives and strengthen the right conditions to make solar, wind and other renewable power more attractive to investors. To respect the Paris Agreement’s goal of limiting temperature rise to well below 2°C, annual investment in renewable energy needs to increase by 150 per cent between now and 2050.	Concentrated solar power (CSP) systems use lenses or mirrors and tracking systems to focus a large area of sunlight into a small beam. Commercial concentrated solar power plants were first developed in the 1980s	2	False	non-plagiarism	trillion-dollar question shift incent strengthen right condit make solar wind renew power attract investor respect pari agreement goal limit temperatur rise well 2c annual invest renew need increas 150 per cent 2050	concentr solar power csp system use lens mirror track system focu larg area sunlight small beam commerci concentr solar power plant first develop 1980
environment	Latest numbers from the IEA point to a 35% decline in upstream oil and gas spending in 2020 compared to 2019, compared to an 18% decline in energy investment overall.	To put these pledges in context, the challenge of heading off dangerous climate change is still immense. Because of COVID-19, global emissions are expected to drop steeply in 2020. But to stand a good chance of keeping the increase in global temperature to 1.5 °C above pre-industrial levels, emissions will need to continue to decline at nearly the same rate – around 8% – every year from now until 2030. The global economy simply cannot pick up as it was before.	1	False	non-plagiarism	latest number iea point 35 declin upstream oil ga spend 2020 compar 2019 compar 18 declin invest overal	put pledg context challeng head danger chang still immens covid-19 global emiss expect drop steepli 2020 stand good chanc keep increas global temperatur 1 5 c pre-industri level emiss need continu declin nearli rate around 8 everi year 2030 global economi simpli cannot pick
health	To see how much energy different macronutrients provided to the body, he fed samples of an “average” American diet of that era – which he believed to be heavy in molasses cookies, barley meal and chicken gizzards – to a group of male students in a basement at Wesleyan University in Middletown, Connecticut. For up to 12 days at a time a volunteer would eat, sleep and lift weights while sealed inside a six-foot-high chamber measuring four feet wide by seven feet deep. The energy in each meal was calculated by burning identical foods in a bomb calorimeter.	Altogether, there were forty-two trials of the six drugs. Most of them were negative	3	False	non-plagiarism	see much differ macronutri provid bodi fed sampl averag american diet era believ heavi molass cooki barley meal chicken gizzard group male student basement wesleyan univers middletown connecticut 12 day time volunt would eat sleep lift weight seal insid six-foot-high chamber measur four feet wide seven feet deep meal calcul burn ident food bomb calorimet	altogeth forty-two trial six drug neg
economy	117-118). The manufacture of vehicles, trailers, machinery, and equipment do not have access to construction related inputs due to the 2015 Gazan dual-use goods list (Israel Ministry of Foreign Affairs, 2010)	Conversely, a lower ECI indicates low diversity and high levels of ubiquity in the goods a country produces.	2	False	non-plagiarism	117-118 manufactur vehicl trailer machineri equip access construct relat input due 2015 gazan dual-us good list israel ministri foreign affair 2010	convers lower eci indic low divers high level ubiqu good countri produc
chemistry	Totally worthless.”	Totally worthless ”	1	True	structural change	total worthless	total worthless
economy	To gain a deeper understanding of the specific security restrictions Palestinian importers face I compared the security restrictions firms encounter when importing products through Israeli vs Jordanian ports. The research project compares the costs of security inspections at ports and checkpoints along with transportation costs and storage costs due to wait times associated with security measures	To gain type A deeper understanding of the special security measur restrictions Palestinian importers face I compared the surety restrictions firms encounter when importing products finished Israeli vs Jordanian ports The explore undertaking compares the costs of security measur inspections At ports and checkpoints on with transportation costs and storage costs owed to wait times joint with security measures	2	True	structural change	gain deeper understand specif secur restrict palestinian import face compar secur restrict firm encount import product isra vs jordanian port research project compar cost secur inspect port checkpoint along transport cost storag cost due wait time associ secur measur	gain type deeper understand special secur measur restrict palestinian import face compar sureti restrict firm encount import product finish isra vs jordanian port explor undertak compar cost secur measur inspect port checkpoint transport cost storag cost owe wait time joint secur measur
chemistry	The hydrogen-mediated chemical bond can’t be described as either a pure hydrogen bond or a pure covalent bond, the researchers conclude. “It’s really some hybrid of the two,” says chemist Mischa Bonn of the Max Planck Institute for Polymer Research in Mainz, Germany, who coauthored a perspective piece on the study, also published in Science.	To tackle that problem, Huber and colleagues devised a strategy for dealing with complex mixtures of plastics. The process uses a series of liquid solvents to dissolve individual plastic components off a product. The trick is choosing the right solvents to dissolve only one kind of plastic at a time, Huber says.	2	False	non-plagiarism	hydrogen-medi chemic bond cant describ either pure bond pure coval bond research conclud realli hybrid two chemist mischa bonn max planck institut polym research mainz germani coauthor perspect piec also publish scienc	tackl problem huber colleagu devis strategi deal complex mixtur process use seri liquid solvent dissolv individu compon product trick choos right solvent dissolv one kind time huber
geography	Biogeography is the study of the distribution of species and ecosystems in geographic space and through geological time. Organisms and biological communities often vary in a regular fashion along geographic gradients of latitude, elevation, isolation and habitat area	NZILA provides an education policy and an accreditation process to review education programme providers; currently there are three accredited undergraduate Landscape Architecture programmes in New Zealand. Lincoln University also has an accredited masters programme in landscape architecture.	2	False	non-plagiarism	biogeographi distribut speci ecosystem geograph space geolog time organ biolog commun often vari regular fashion along geograph gradient latitud elev isol habitat area	nzila provid educ polici accredit process review educ programm provid current three accredit undergradu architectur programm zealand lincoln univers also accredit master programm architectur
economy	On the other hand, the Philippines, with a large agrarian base, is presently much poorer than Singapore. Without specialization, it will be difficult for the Philippines to achieve economies of scale via large-scale efficient production of goods according to their comparative advantage in primary products, such as agricultural goods.10 The AEC aims to address this by encouraging economies to re-align according to their strengths	The system which closely relied on uniform loyal participation from the labor force could not last forever. In the 1970s extreme environmental pollution accompanied by an environment of overworking and stress became a political issue.[10] The social contract in Japan had rapidly changed for centuries and at this point work was intolerable	2	False	non-plagiarism	hand philippin larg agrarian base present much poorer singapor without special difficult philippin achiev economi scale via large-scal effici product good accord compar advantag primari product agricultur good 10 aec aim address encourag economi re-align accord strength	system close reli uniform loyal particip labor forc could last forev 1970 extrem environment pollut accompani environ overwork stress becam polit issu 10 social contract japan rapidli chang centuri point work intoler
economy	Today the Palestinian economy relies on the services sector for employment and output. Governmental social services are a staple in both the West Bank and Gazan economies	Today the Palestinian economy relies on the services sector for employment and output. Governmental social services are a staple in both the West Bank and Gazan economies	2	True	literal	today palestinian economi reli servic sector employ output government social servic stapl west bank gazan economi	today palestinian economi reli servic sector employ output government social servic stapl west bank gazan economi
environment	2 emissions by mid-century. This technique, in combination with bio-energy production (BECCS) can result in net-negative emissions, where the amount of greenhouse gasses that are released into the atmosphere are less than the sequestered, or stored, amount in the bio-energy fuel being grown. It remains highly uncertain whether carbon dioxide removal techniques, such as BECCS, will be able to play a large role in limiting warming to 1.5 °C, and policy decisions based on reliance on carbon dioxide removal increases the risk of global warming increasing beyond international goals.	2 emissions away mid-century This proficiency in combining with bio-energy production (BECCS) can issue in net-negative emissions where the measure of greenhouse gasses that ar discharged into the atm are less than the sequestered surgery stored measure in the bio-energy fuel organism grown It cadaver highly uncertain whether carbon copy dioxide remotion techniques much as BECCS will comprise able-bodied to play letter a walloping role in modification warming to 1 5 °C and insurance decisions based on trust connected carbon copy dioxide removal increases the risk of global warming increasing on the far side international goals 	3	True	structural change	2 emiss mid-centuri techniqu combin bio-energi product becc result net-neg emiss amount greenhous gass releas atmospher less sequest store amount bio-energi fuel grown remain highli uncertain whether dioxid remov techniqu becc abl play larg role limit warm 1 5 c polici decis base relianc dioxid remov increas risk global warm increas beyond intern goal	2 emiss away mid-centuri profici combin bio-energi product becc issu net-neg emiss measur greenhous gass ar discharg atm less sequest surgeri store measur bio-energi fuel organ grown cadav highli uncertain whether copi dioxid remot techniqu much becc compris able-bodi play letter wallop role modif warm 1 5 c insur decis base trust connect copi dioxid remov increas risk global warm increas far side intern goal
history	The second set of texts is from the monumental Epicurean inscription from Oinoanda in Lycia (modern Turkey) erected in the AD 120s by a wealthy notable named Diogenes. The surviving fragments of the inscription (about 305 to date), originally extending onto a portico wall about 80 metres in length and 4 metres in height, sets out Epicurus’ teachings on physics, epistemology, and ethics	The second set of texts is from the monumental Epicurean inscription from Oinoanda in Lycia (modern Turkey) erected in the AD 120s by a wealthy notable named Diogenes. The surviving fragments of the inscription (about 305 to date), originally extending onto a portico wall about 80 metres in length and 4 metres in height, sets out Epicurus’ teachings on physics, epistemology, and ethics	2	True	literal	second set text monument epicurean inscript oinoanda lycia modern turkey erect ad 120 wealthi notabl name diogen surviv fragment inscript 305 date origin extend onto portico wall 80 metr length 4 metr height set epicuru teach physic epistemolog ethic	second set text monument epicurean inscript oinoanda lycia modern turkey erect ad 120 wealthi notabl name diogen surviv fragment inscript 305 date origin extend onto portico wall 80 metr length 4 metr height set epicuru teach physic epistemolog ethic
covid19	These data should be confirmed in a larger population, a wider range of cases, also keeping in mind that the detection of IgM has a lower specificity (high false-positive rate) due to increased cross-reactivity with other coronaviruses [34, 35]. The serological study requires a prolonged monitoring to verify the antibody changes over time and their persistence	The exact nature of these pathologic antibodies has not been characterized, but they appear to be of the IgG subtype, and platelet activation can be completely abrogated with an excess of heparin, as seen in classic HIT. Identification of the mechanism through which the vaccine could trigger the formation of these pathologic antibodies would require further study	2	False	non-plagiarism	data confirm larger popul wider rang case also keep mind detect igm lower specif high false-posit rate due increas cross-react coronavirus 34 35 serolog requir prolong monitor verifi antibodi chang time persist	exact natur patholog antibodi character appear igg subtyp platelet activ complet abrog excess heparin seen classic hit identif mechan vaccin could trigger format patholog antibodi would requir
economy	Then-interim head of state, Mr. Michel Temer took over Brasilia, where he will preside until 2018 (Romero, 2016).	Then-while-interim of the country, Mr. Michel Temer took over Brasilia, where he would lead until 2018 (Romero, 2016). 	2	True	paraphrase	then-interim head state mr michel temer took brasilia presid 2018 romero 2016	then-while-interim countri mr michel temer took brasilia would lead 2018 romero 2016 
environment	The 280 MW Solana Generating Station is a solar power plant near Gila Bend, Arizona, about 70 miles (110 km) southwest of Phoenix, completed in 2013. When commissioned it was the largest parabolic trough plant in the world and the first U.S	The 280 MW Solana Generating Station is a solar power plant near Gila Bend, Arizona, about 70 miles (110 km) southwest of Phoenix, completed in 2013	2	True	partial literal	280 mw solana gener station solar power plant near gila bend arizona 70 mile 110 km southwest phoenix complet 2013 commiss largest parabol trough plant world first u	280 mw solana gener station solar power plant near gila bend arizona 70 mile 110 km southwest phoenix complet 2013
environment	The main causes of deforestation are: permanent land-use change from forest to agricultural land producing products such as beef and palm oil (27%), logging to produce forestry/forest products (26%), short term shifting cultivation (24%), and wildfires (23%).	The intense causes of deforestation are: permanent land-use alter from forest to cultivation land producing products so much every bit gripe and palm anele (27%) logging to bring about forestry/forest products (26%) momentary term unsteady culture (24%) and wildfires (23%) 	1	True	structural change	main caus deforest perman land-us chang forest agricultur land produc product beef palm oil 27 log produc forestri forest product 26 short term shift cultiv 24 wildfir 23	intens caus deforest perman land-us alter forest cultiv land produc product much everi bit gripe palm anel 27 log bring forestri forest product 26 momentari term unsteadi cultur 24 wildfir 23
technology	The problem, however, is that to capture thermal radiation and not just microwaves, rectennas need to be incredibly small -- many times thinner than a human hair. And that can cause a range of problems. The smaller an electrical device is, for example, the higher its resistance becomes, which can shrink the power output of a rectenna.	The problem, however, is that to capture thermal radiation and not just microwaves, rectennas need to be incredibly small -- many times thinner than a human hair. And that can cause a range of problems. The smaller an electrical device is, for example, the higher its resistance becomes, which can shrink the power output of a rectenna.	3	True	literal	problem howev captur thermal radiat microwav rectenna need incred small -- mani time thinner human hair caus rang problem smaller electr devic exampl higher resist becom shrink power output rectenna	problem howev captur thermal radiat microwav rectenna need incred small -- mani time thinner human hair caus rang problem smaller electr devic exampl higher resist becom shrink power output rectenna
economy	PAZZANI, MICHAEL J. CREATING A MEMORY OF CAUSAL RELATIONSHIPS: an integration of empirical and explanation-based... learning methods. S.l.: PSYCHOLOGY PRESS, 2016.	Free trade’s primary goal is to reduce trade barriers between Pacific nations, giving Abe the perfect chance to export high quality Japanese goods, made cheaply, to more countries.	4	False	non-plagiarism	pazzani michael j creat memori causal relationship integr empir explanation-bas learn method l psycholog press 2016	free trade primari goal reduc trade barrier pacif nation give abe perfect chanc export high qualiti japanes good made cheapli countri
technology	But I think it's more than that. I think that they are convinced they're right because they are only talking to other people who are convinced they are right	simply I believe it's more than that I guess that they are sure they're proper because they ar only talking to another populate who ar confident they ar rightish	2	True	structural change	think think convinc right talk peopl convinc right	simpli believ guess sure proper ar talk anoth popul ar confid ar rightish
economy	As a result, the South Africans were forced abstain from luxury, sometimes necessities, that were imported. The South African current account surplus grew in this period despite weaker exports, because reduced imports more than offset declines in import (South African Reserve Bank)37	This, more or less, gives the theoretical base that gives rise to DMV; it fundamentally recognizes that the notion of value extends far beyond pegging it to an invariance principle, but instead recognizes that other “non-economic” forces play a role in the process. Furthermore, it explicitly recognizes the contested nature of values which is a necessary precondition for any disciplining and mimesis to occur	2	False	non-plagiarism	result south african forc abstain luxuri sometim necess import south african current account surplu grew period despit weaker export reduc import offset declin import south african reserv bank 37	less give theoret base give rise dmv fundament recogn notion valu extend far beyond peg invari principl instead recogn non-econom forc play role process furthermor explicitli recogn contest natur valu necessari precondit disciplin mimesi occur
environment	Over 500,000 additional adult deaths are projected yearly by 2050 due to reductions in food availability and quality. Other major health risks associated with climate change include air and water quality	An individual's, nation's, or organization's carbon footprint can be measured by undertaking a GHG emissions assessment, a life cycle assessment, or other calculative activities denoted as carbon accounting. Once the size of a carbon footprint is known, a strategy can be devised to reduce it, for example, by technological developments, energy efficiency improvements, better process and product management, changed Green Public or Private Procurement (GPP), carbon capture, consumption strategies, carbon offsetting and others.	2	False	non-plagiarism	500 000 addit adult death project yearli 2050 due reduct food avail qualiti major health risk associ chang includ air water qualiti	individu nation organ footprint measur undertak ghg emiss assess life cycl assess calcul activ denot account size footprint known strategi devis reduc exampl technolog develop effici improv better process product manag chang green public privat procur gpp captur consumpt strategi offset
environment	The most powerful industrial climate actions are: refrigerant management (90 billion tonnes of CO 2 e 2017–2050, since refrigerants have thousands of times the warming potential of CO 2 ); land-based wind turbines for electricity (85 billion); reduced food waste (71 billion); and restoring tropical forests by ending use of the land for other purposes (61 billion). They calculate benefits cumulatively to 2050, rather than annually, because industrial actions have long lead times.	The authors' team emphasized that their work should not be interpreted as anti-renewables because renewable energy is crucial for reducing carbon emissions. The key is ensuring that renewable energy facilities are built in places where they do not damage biodiversity.	2	False	non-plagiarism	power industri action refriger manag 90 billion tonn co 2 e 20172050 sinc refriger thousand time warm potenti co 2 land-bas wind turbin electr 85 billion reduc food 71 billion restor tropic forest end use land purpos 61 billion calcul benefit cumul 2050 rather annual industri action long lead time	author team emphas work interpret anti-renew renew crucial reduc emiss key ensur renew facil built place damag biodivers
economy	"""Both the media and academia shared their excitement to see Brazil's future, as they wrote about the country as the 21st century superpower. In the end of 2009, The Economist cover announced """"Brazil Takes Off"""" (The Economist, 2009). In 2010, Peter Hakim published his book entitled """"Brazil on the Rise"""" (Hakim, 2010) and Forbes released an article suggesting """"Brazil's Economy Catches Its Breath"""" (Delgado, 2010). Following this route of excitement, Dauvergne and Farias wrote a well-known piece called """"The rise of Brazil as a Global Development Power"""" in 2012 (Dauvergne and Farias, 2012)."""	"""some the media and academia divided up their excitement to examine Brazil's future equally they wrote about the body politic every bit the 21st one C great power In the ending of 2009 The economic expert back proclaimed """"Brazil Takes Off"""" (The Economist 2009) In 2010 St. Peter the Apostl Hakim promulgated his book eligible """"Brazil happening the Rise"""" (Hakim 2010) and Forbes free AN clause suggesting """"Brazil's economic system Catches Its Breath"""" (Delgado 2010) Following this path of excitement Dauvergne and Farias wrote a well-known piece titled """"The uprise of brazil nut as a Global growth Power"""" in 2012 (Dauvergne and Farias 2012) """	4	True	structural change	media academia share excit see brazil futur wrote countri 21st centuri superpow end 2009 economist cover announc brazil take economist 2009 2010 peter hakim publish book entitl brazil rise hakim 2010 forb releas articl suggest brazil economi catch breath delgado 2010 follow rout excit dauvergn faria wrote well-known piec call rise brazil global develop power 2012 dauvergn faria 2012	media academia divid excit examin brazil futur equal wrote bodi polit everi bit 21st one c great power end 2009 expert back proclaim brazil take economist 2009 2010 st peter apostl hakim promulg book elig brazil happen rise hakim 2010 forb free claus suggest brazil system catch breath delgado 2010 follow path excit dauvergn faria wrote well-known piec titl upris brazil nut global growth power 2012 dauvergn faria 2012
health	Research suggests that you'd have to breathe in unusually high levels of household pollutants for a long time to suffer serious health effects. But if you're sensitive to chemicals and allergens, even low levels can trigger irritating reactions.	Research suggests that you'd have to breathe in unusually high levels of household pollutants for a long time to suffer serious health effects. But if you're sensitive to chemicals and allergens, even low levels can trigger irritating reactions.	2	True	literal	research suggest breath unusu high level household pollut long time suffer seriou health effect sensit chemic allergen even low level trigger irrit reaction	research suggest breath unusu high level household pollut long time suffer seriou health effect sensit chemic allergen even low level trigger irrit reaction
economy	This, more or less, gives the theoretical base that gives rise to DMV; it fundamentally recognizes that the notion of value extends far beyond pegging it to an invariance principle, but instead recognizes that other “non-economic” forces play a role in the process. Furthermore, it explicitly recognizes the contested nature of values which is a necessary precondition for any disciplining and mimesis to occur	"""""""Cálculo Havia Apontado Perda De R$ 88,6 Bilhões, Segundo Graça Foster"""". 2015. Globo G1. http://g1.globo.com/economia/negocios/noticia/2015/01/calculos-havia-apontado-perda-de-r886-bilhoes-segundo-graca-foster.html."""	2	False	non-plagiarism	less give theoret base give rise dmv fundament recogn notion valu extend far beyond peg invari principl instead recogn non-econom forc play role process furthermor explicitli recogn contest natur valu necessari precondit disciplin mimesi occur	clculo havia apontado perda de r 88 6 bilh segundo graa foster 2015 globo g1 
economy	Despite a gradual improvement in smaller sectors of the Venezuelan economy, it remains more dependent than ever on crude oil exportation (see Figure 5). Like other Latin American nations, Venezuela has suffered from the resource curse (paradox of plenty), where oil wealth plagues non-resource-related development and inhibits institutional development (M	Like other Latin American nations, Venezuela has suffered from the resource curse (paradox of plenty), where oil wealth plagues non-resource-related development and inhibits institutional development (M	2	True	partial literal	despit gradual improv smaller sector venezuelan economi remain depend ever crude oil export see figur 5 like latin american nation venezuela suffer resourc curs paradox plenti oil wealth plagu non-resource-rel develop inhibit institut develop	like latin american nation venezuela suffer resourc curs paradox plenti oil wealth plagu non-resource-rel develop inhibit institut develop
